iter	Passed	Remaining
0	62	18655
1	64	9618
2	67	6640
3	69	5141
4	71	4247
5	74	3651
6	76	3218
7	79	2885
8	81	2643
9	84	2442
10	86	2273
11	88	2135
12	91	2019
13	94	1922
14	96	1833
15	98	1755
16	101	1685
17	103	1621
18	105	1565
19	108	1515
20	110	1473
21	113	1433
22	115	1394
23	118	1358
24	120	1326
25	123	1299
26	125	1270
27	127	1243
28	130	1221
29	133	1199
30	136	1182
31	138	1162
32	140	1140
33	143	1121
34	146	1105
35	148	1089
36	151	1074
37	152	1050
38	154	1035
39	157	1021
40	159	1007
41	162	995
42	164	984
43	167	972
44	169	959
45	171	949
46	174	939
47	176	928
48	179	918
49	181	908
50	184	898
51	186	888
52	188	879
53	191	870
54	193	860
55	195	851
56	197	843
57	200	835
58	202	828
59	205	821
60	207	813
61	210	808
62	212	801
63	215	793
64	217	786
65	220	781
66	222	774
67	225	768
68	227	762
69	230	757
70	232	751
71	235	744
72	237	739
73	240	733
74	242	727
75	245	722
76	247	715
77	249	709
78	251	703
79	253	697
80	256	692
81	258	687
82	260	681
83	263	677
84	265	672
85	268	668
86	271	664
87	273	659
88	276	654
89	278	650
90	280	645
91	283	640
92	285	636
93	288	631
94	290	626
95	292	622
96	295	619
97	298	614
98	300	610
99	303	606
100	305	602
101	307	597
102	310	593
103	312	588
104	314	584
105	316	579
106	319	575
107	321	572
108	324	568
109	326	564
110	328	559
111	331	555
112	333	552
113	336	548
114	338	544
115	340	540
116	342	536
117	345	532
118	347	529
119	350	525
120	352	521
121	355	518
122	357	514
123	359	510
124	362	507
125	364	503
126	366	499
127	369	496
128	372	493
129	374	489
130	376	486
131	379	482
132	381	479
133	383	475
134	386	472
135	388	468
136	391	465
137	393	461
138	396	459
139	399	456
140	401	452
141	403	449
142	406	446
143	408	442
144	410	439
145	413	436
146	415	432
147	418	429
148	420	426
149	422	422
150	425	419
151	427	416
152	429	413
153	432	409
154	434	406
155	437	403
156	439	400
157	441	397
158	444	394
159	447	391
160	450	388
161	452	385
162	454	382
163	457	379
164	459	376
165	461	372
166	464	369
167	466	366
168	469	363
169	471	360
170	474	357
171	476	354
172	478	351
173	481	348
174	483	345
175	486	342
176	488	339
177	490	336
178	493	333
179	495	330
180	497	327
181	500	324
182	502	321
183	504	318
184	507	315
185	509	312
186	511	309
187	514	306
188	516	303
189	519	300
190	521	297
191	524	294
192	526	291
193	529	289
194	531	286
195	533	283
196	535	280
197	538	277
198	540	274
199	542	271
200	545	268
201	547	265
202	550	262
203	552	260
204	554	257
205	557	254
206	559	251
207	562	248
208	564	245
209	566	242
210	569	240
211	571	237
212	574	234
213	576	231
214	578	228
215	581	226
216	584	223
217	586	220
218	589	217
219	591	215
220	594	212
221	596	209
222	598	206
223	601	204
224	603	201
225	607	198
226	609	196
227	611	193
228	614	190
229	616	187
230	618	184
231	621	182
232	623	179
233	626	176
234	628	173
235	630	171
236	633	168
237	635	165
238	638	162
239	640	160
240	642	157
241	644	154
242	647	151
243	649	149
244	651	146
245	653	143
246	656	140
247	659	138
248	661	135
249	664	132
250	666	130
251	668	127
252	671	124
253	673	121
254	675	119
255	678	116
256	680	113
257	683	111
258	685	108
259	688	105
260	690	103
261	692	100
262	695	97
263	697	95
264	699	92
265	702	89
266	704	87
267	707	84
268	709	81
269	712	79
270	714	76
271	717	73
272	720	71
273	722	68
274	724	65
275	727	63
276	730	60
277	732	57
278	734	55
279	737	52
280	739	50
281	741	47
282	744	44
283	746	42
284	749	39
285	751	36
286	753	34
287	756	31
288	758	28
289	761	26
290	763	23
291	765	20
292	768	18
293	770	15
294	773	13
295	775	10
296	777	7
297	780	5
298	782	2
299	785	0
