iter	Passed	Remaining
0	57	17281
1	60	8946
2	62	6164
3	64	4774
4	66	3941
5	68	3377
6	71	2976
7	73	2677
8	75	2443
9	77	2251
10	79	2097
11	82	1971
12	84	1864
13	86	1770
14	89	1691
15	91	1620
16	93	1558
17	95	1501
18	98	1449
19	100	1404
20	102	1360
21	104	1325
22	107	1292
23	109	1257
24	111	1226
25	113	1197
26	115	1168
27	117	1143
28	119	1120
29	122	1098
30	124	1078
31	126	1062
32	129	1043
33	131	1027
34	134	1014
35	136	1002
36	139	990
37	141	975
38	143	960
39	146	949
40	148	936
41	150	925
42	152	913
43	155	903
44	157	891
45	159	880
46	161	870
47	163	859
48	166	850
49	168	840
50	170	832
51	172	823
52	174	814
53	176	805
54	179	798
55	181	789
56	183	781
57	185	774
58	188	768
59	190	761
60	192	754
61	195	750
62	197	743
63	199	736
64	201	729
65	204	724
66	206	717
67	208	711
68	210	705
69	212	698
70	214	692
71	217	687
72	219	681
73	221	676
74	223	671
75	226	666
76	228	661
77	230	657
78	232	651
79	234	645
80	236	640
81	239	635
82	241	631
83	243	626
84	245	621
85	247	616
86	250	612
87	252	608
88	254	603
89	256	598
90	258	594
91	260	589
92	263	585
93	265	581
94	267	576
95	269	572
96	271	568
97	273	564
98	276	560
99	278	556
100	280	552
101	282	548
102	284	544
103	287	541
104	289	537
105	291	533
106	293	530
107	296	526
108	299	523
109	301	520
110	303	516
111	305	512
112	307	508
113	309	505
114	311	501
115	313	497
116	315	494
117	318	490
118	320	486
119	322	483
120	324	479
121	326	476
122	329	473
123	331	470
124	333	467
125	336	464
126	338	460
127	340	457
128	342	453
129	344	450
130	346	446
131	348	443
132	350	440
133	352	437
134	355	434
135	357	431
136	359	428
137	362	425
138	364	422
139	366	419
140	368	415
141	370	412
142	373	409
143	375	406
144	377	403
145	379	400
146	381	397
147	383	393
148	385	390
149	387	387
150	389	384
151	392	381
152	394	378
153	396	375
154	398	372
155	400	369
156	402	366
157	404	363
158	407	361
159	409	358
160	412	356
161	414	353
162	417	350
163	419	347
164	421	344
165	423	342
166	426	339
167	428	337
168	431	334
169	433	331
170	435	328
171	437	325
172	439	322
173	441	319
174	443	316
175	445	314
176	448	311
177	450	308
178	452	306
179	454	303
180	456	300
181	458	297
182	461	294
183	463	292
184	465	289
185	467	286
186	469	283
187	471	281
188	474	278
189	476	276
190	479	273
191	481	270
192	483	267
193	485	265
194	488	263
195	491	260
196	494	258
197	496	255
198	498	253
199	501	250
200	503	248
201	505	245
202	508	242
203	510	240
204	512	237
205	514	234
206	516	232
207	519	229
208	521	226
209	523	224
210	525	221
211	527	219
212	529	216
213	532	213
214	534	211
215	536	208
216	538	206
217	540	203
218	542	200
219	545	198
220	547	195
221	549	193
222	552	190
223	554	188
224	556	185
225	558	182
226	560	180
227	562	177
228	564	175
229	566	172
230	569	170
231	572	167
232	574	165
233	576	162
234	579	160
235	581	157
236	583	155
237	585	152
238	587	149
239	589	147
240	591	144
241	594	142
242	596	139
243	598	137
244	601	134
245	603	132
246	605	130
247	608	127
248	610	125
249	612	122
250	614	120
251	617	117
252	619	115
253	622	112
254	624	110
255	626	107
256	628	105
257	630	102
258	632	100
259	634	97
260	637	95
261	639	92
262	641	90
263	644	87
264	645	85
265	648	82
266	650	80
267	652	77
268	654	75
269	656	72
270	659	70
271	661	68
272	663	65
273	665	63
274	667	60
275	669	58
276	672	55
277	674	53
278	676	50
279	678	48
280	681	46
281	683	43
282	685	41
283	687	38
284	689	36
285	691	33
286	694	31
287	696	29
288	698	26
289	700	24
290	702	21
291	704	19
292	707	16
293	709	14
294	711	12
295	713	9
296	715	7
297	718	4
298	720	2
299	722	0
